 , ,Fino. BP,Fino. BP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Mean,Mean,Mean,Cmt Text,Cmt No,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V
0.3181,1.3562, ,91.82518941,#NUM!,#NUM!,burst,39,0.3425
1.6743,1.2736, ,90.75675497,129.2902436,69.73786319,burst,40,0.2528
2.9479,1.1305, ,97.16794836,128.8767242,70.03123474,burst,40,0.0753
4.0784,1.1678, ,97.71128939,129.3508645,74.10498453,burst,40,0.0653
5.2462,1.5514, ,107.5955951,137.0703158,80.93957153,burst,40,0.0862
6.7976,1.4615, ,99.4165177,140.2896046,80.91858655,burst,40,0.1475
8.2591,1.4418, ,99.92104054,138.8449521,75.39524348,burst,41,0.2394
9.7009,1.3806, ,96.53890519,136.1314038,74.46462089,burst,41,0.1312
11.0815,1.2442, ,92.9263583,133.8231781,73.29133491,burst,41,0.1231
12.3257,1.1485, ,96.23602797,129.5037231,71.74999237,burst,41,0.0766
13.4742,1.244, ,94.39835711,130.1034898,74.14249492,burst,41,0.0772
14.7182,1.386, ,99.39303301,133.6977391,75.10650711,burst,41,0.2523
16.1042,1.3597, ,93.98058625,134.0988873,72.67042701,burst,42,0.2391
17.4639,1.3022, ,91.53959405,131.8045577,69.8165545,burst,43,0.2266
18.7661,1.0895, ,94.09996558,129.5939941,68.78108215,burst,44,0.255
19.8556,1.0426, ,92.64429671,125.9284875,69.26432839,burst,44,0.0731
20.8982,1.1854, ,94.08684305,129.0679262,73.50161213,burst,44,0.0769
22.0836,1.4461, ,102.4616857,135.6479913,75.85168704,burst,44,0.1866
23.5297,1.3785, ,95.95344577,138.2437405,75.86940573,burst,45,0.1619
24.9082,1.2846, ,94.28853826,135.8962955,71.84532642,burst,46,0.1569
26.1928,1.1491, ,97.86437212,133.843811,72.18744659,burst,47,0.1506
27.3419,1.0401, ,97.51845976,130.7596747,72.24679199,burst,47,0.0666
28.382,1.2236, ,95.72930798,132.8973186,74.95769266,burst,47,0.0881
29.6056,1.3917, ,102.4229697,136.9055493,77.50439699,burst,47,0.2109
30.9973,1.3723, ,97.79457161,138.5998076,75.5233477,burst,48,0.2266
32.3696,1.2304, ,93.4785334,136.1350225,72.32578946,burst,49,0.1409
33.6,1.0891, ,98.2466027,131.0948639,70.65598297,burst,49,0.1172
34.6891,1.0944, ,97.21738224,131.9605976,73.72907382,burst,49,0.0712
35.7835,1.3413, ,99.06499059,134.8704785,76.43719535,burst,49,0.085
37.1248,1.3373, ,97.98467995,138.089299,76.69968138,burst,49,0.1675
38.4621,1.3301, ,96.29740715,136.2103371,72.77375432,burst,50,0.2459
39.7922,1.188, ,93.19958439,134.033672,71.40577124,burst,51,0.1628
40.9802,1.0746, ,94.59159222,128.8438263,68.56242371,burst,51,0.1106
42.0548,1.1319, ,93.02063455,128.6469244,70.76211671,burst,51,0.0675
43.1867,1.3175, ,94.36779412,131.6803581,72.99595913,burst,51,0.2472
44.5042,1.3188, ,94.08548965,133.7742882,72.6053561,burst,53,0.2612
45.823,1.3084, ,92.13945468,132.6494497,69.48309388,burst,53,0.1428
47.1314,1.2011, ,90.99625083,129.9018902,68.13892934,burst,54,0.2219
48.3325,1.051, ,94.6208373,127.4707413,66.9684906,burst,54,0.0769
49.3835,1.0651, ,92.94733769,126.7721099,69.89017614,burst,54,0.0897
50.4486,1.4272, ,98.90099496,131.7902029,74.93535671,burst,54,0.1268
51.8758,1.3718, ,95.24557607,136.8014728,76.23088754,burst,54,0.1284
53.2476,1.3933, ,96.84503741,135.5548044,71.88785587,burst,54,0.3128
54.6409,1.2492, ,90.47764069,133.1509492,71.27357048,burst,55,0.3306
55.8901,1.1198, ,95.46773977,129.6563416,69.03125,burst,55,0.0625
57.0099,1.0876,CAL,106.5275693,#NUM!,#NUM!,burst,55,0.0984
58.0975,1.3683,CAL,98.45918293,#NUM!,#NUM!,burst,55,0.1003
59.4658,1.3887, ,98.03760036,#NUM!,#NUM!,burst,56,0.1739
60.8545,1.3454, ,99.48518099,140.4426608,76.42327841,burst,57,0.2938
62.1999,1.1987, ,97.50030502,137.1810156,74.18847956,burst,58,0.2116
63.3986,1.0841, ,100.6156749,133.8768921,74.28115082,burst,58,0.0706
64.4827,1.2498, ,99.34975096,136.2333553,77.66628173,burst,58,0.1091
65.7325,1.4544, ,106.623902,140.5752922,80.24390997,burst,58,0.2081
67.1869,1.3845, ,98.7790809,141.4217001,77.98129996,burst,59,0.3091
68.5714,1.3236, ,96.909409,138.4858889,73.85378741,burst,60,0.1663
69.895,1.1888, ,96.43376724,134.6141406,71.94187998,burst,61,0.1097
71.0838,1.1073, ,96.92202316,130.8137512,73.3125,burst,61,0.0903
72.1911,1.2594, ,96.1391089,133.8443879,75.08232857,burst,61,0.1
73.4505,1.3603, ,100.7871334,136.4494781,76.29758888,burst,61,0.2269
74.8108,1.3828, ,97.29365237,136.7854662,74.02663503,burst,62,0.2784
76.1936,1.2809, ,91.68189115,134.2642686,71.14865716,burst,63,0.2837
77.4745,1.1254, ,95.54790797,131.1258698,68.96874237,burst,63,0.0678
78.5999,1.0473, ,94.66503151,128.1197781,70.42672698,burst,63,0.1105
79.6472,1.243, ,94.93648934,131.8443798,73.71697428,burst,63,0.0997
80.8902,1.4478, ,102.859144,136.9973137,77.25414822,burst,64,0.27
82.338,1.4074, ,95.34616136,137.6846552,74.38207664,burst,64,0.2666
83.7454,1.2372, ,90.66273137,134.9572036,70.64551499,burst,65,0.2094
84.9826,1.0681, ,97.48594174,130.2518158,68.59333801,burst,65,0.0816
86.0507,1.091, ,95.1057516,129.6737718,71.98190867,burst,65,0.0575
87.1417,1.4038, ,99.10533463,133.7487087,75.45090884,burst,65,0.1538
88.5455,1.3944, ,96.26023738,137.0605482,75.65135161,burst,67,0.2147
89.9399,1.3495, ,93.86450769,135.5877489,71.24720749,burst,67,0.1734
91.2894,1.1522, ,92.88110788,133.5938263,70.5,burst,68,0.1387
92.4416,1.1071, ,93.67661289,128.1943618,69.71465803,burst,68,0.075
93.5487,1.3626, ,95.74786942,131.1882288,73.05771262,burst,69,0.3047
94.9113,1.3456, ,94.74674634,134.6630915,74.09375748,burst,69,0.2695
96.2569,1.0871, ,95.97453949,134.4695892,70.3420105,burst,69,0.1238
97.344,1.1798, ,96.48939969,132.5077196,70.4589462,burst,69,0.0819
98.5238,1.1553, ,97.62305245,133.7246893,75.46836149,burst,69,0.1194
99.6791,1.0328, ,97.83335048,132.1315743,72.50117959,burst,69,0.1044
100.7119,1.1801, ,94.4755079,131.9241616,74.03842016,burst,69,0.0869
101.892,1.3418, ,97.09309323,134.3459182,75.9964745,burst,69,0.2624
103.2338,1.3123, ,92.48426903,135.4579032,71.67572219,burst,70,0.2669
104.5461,1.1656, ,90.71375525,132.1267242,68.34375,burst,71,0.2119
