 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
6827.315939,1.29,start bsl,77.35462952,110.4375153,61.31237411,BURST,36,0.5253,0.3853
6828.605939,1.4,start bsl,77.36946869,105.6876221,55.93735886,BURST,36,0.5022,0.1212
6830.005939,1.37,start bsl,76.66634369,106.0942993,60.15625,BURST,37,0.5238,0.4028
6831.375939,1.17,start bsl,78.52562714,107.3131409,57.78089142,BURST,37,0.5166,0.1059
6832.545939,1.185,start bsl,78.52562714,107.3131409,57.78089142,BURST,37,0.5228,0.0719
6833.730939,1.355,CAL,89.20315552,115.1592712,68.24983978,BURST,37,0.5103,0.0756
6835.085939,1.365,CAL,89.20315552,115.1592712,68.24983978,BURST,37,0.4966,0.1431
6836.450939,1.19, ,89.20315552,115.1592712,68.24983978,BURST,40,0.5231,0.2078
6837.640939,1.18, ,89.80355835,119.9063339,65.84339142,BURST,40,0.5094,0.0884
6838.820939,1.365, ,87.2401123,116.219902,68.40617371,BURST,40,0.5069,0.0713
6840.185939,1.42, ,87.34770203,120.2817459,68.46864319,BURST,40,0.5191,0.1194
6841.605939,1.215, ,86.18771362,119.21875,64.90538788,BURST,41,0.5081,0.2828
6842.820939,1.22, ,88.06187439,117.03125,63.62139893,BURST,41,0.5275,0.0641
6844.040939,1.415, ,85.59559631,116.0343475,67.90599823,BURST,41,0.5247,0.0831
6845.455939,1.33, ,84.66413879,117.5000076,65.62416077,BURST,41,0.51,0.0878
6846.785939,1.26, ,83.26696014,114.8128281,61.81238556,BURST,41,0.5116,0.095
6848.045939,1.53, ,82.25708008,111.7815857,62.03105545,BURST,41,0.5094,0.1336
6849.575939,1.33, ,78.68606567,113.90625,62.56249237,BURST,42,0.53,0.3381
6850.905939,1.325, ,78.02848053,107.8759003,56.62477875,BURST,42,0.5234,0.0706
6852.230939,1.475, ,77.34912872,105.9381256,58.7804451,BURST,42,0.5247,0.0597
6853.705939,1.315, ,79.3658371,109.4383774,59.96639633,BURST,42,0.5194,0.0919
6855.020939,1.415, ,82.59437561,110.6881714,58.74982071,BURST,42,0.5238,0.075
6856.435939,1.265, ,82.30827332,115.3440628,64.18554688,BURST,43,0.4991,0.2481
6857.700939,1.44, ,83.85538483,113.1564255,60.40625,BURST,43,0.5256,0.0716
6859.140939,1.365, ,80.29412079,114.1250229,65.3748703,BURST,44,0.5334,0.195
6860.505939,1.295, ,81.15929413,114.2513351,60.03074265,BURST,44,0.515,0.1175
6861.800939,1.44,CAL,79.32286835,109.8766098,60.90607071,BURST,44,0.515,0.0869
6863.240939,1.21,CAL,83.92532349,111.4697266,60.68749619,BURST,45,0.5175,0.2463
6864.450939,1.395,CAL,83.92532349,111.4697266,60.68749619,BURST,45,0.5122,0.0844
6865.845939,1.195, ,83.92532349,111.4697266,60.68749619,BURST,48,0.5466,0.1706
6867.040939,1.34, ,84.91719818,113.1263428,59.53097916,BURST,48,0.5088,0.0647
6868.380939,1.505, ,83.02117157,113.7199402,66.2477417,BURST,48,0.5072,0.0697
6869.885939,1.345, ,84.34748077,117.1250534,63.90559769,BURST,49,0.5225,0.1516
6871.230939,1.515, ,83.73753357,115.3138504,62.56249619,BURST,49,0.5288,0.0619
6872.745939,1.34, ,82.15144348,117.2815781,64.46812439,BURST,50,0.5228,0.3434
6874.085939,1.35, ,82.15209198,114.3438339,59.37493896,BURST,50,0.5078,0.0972
6875.435939,1.425, ,81.53646851,114.3750076,63.12497711,BURST,50,0.51,0.0825
