 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
10720.30256,1.325,Air Breathing Baseline,67.79895782,109.1262512,49.12496567,BURST,432,0.5691,0.2128
10721.62756,1.625,Air Breathing Baseline,70.08319092,106.5643005,50.28013611,BURST,432,0.5666,0.0819
10723.25256,1.38,Air Breathing Baseline,69.69706726,110.875145,51.90625,BURST,432,0.5584,0.1325
10724.63256,1.72,Air Breathing Baseline,74.7614212,112.2520142,51.37496185,BURST,432,0.5469,0.1003
10726.35256,1.46,Air Breathing Baseline,73.18811798,114.8760376,55.49944305,BURST,433,0.5641,0.2106
10727.81256,1.515,Air Breathing Baseline,76.84288788,114.4104309,53.06243515,BURST,433,0.5331,0.1347
10729.32756,1.41,Air Breathing Baseline,76.92446136,116.5315399,57.40595627,BURST,434,0.5503,0.1644
10730.73756,1.695,Air Breathing Baseline,80.25434113,116.7813797,57.27894974,BURST,434,0.5422,0.1006
10732.43256,1.38,Air Breathing Baseline,77.54576111,118.2514038,61.21869659,BURST,434,0.5506,0.1447
10733.81256,1.3,Air Breathing Baseline,81.22135162,119.8455582,57.93749619,BURST,434,0.5617,0.0689
10735.11256,1.74,Air Breathing Baseline,79.35450745,114.2195129,61.31203079,BURST,434,0.5225,0.1113
10736.85256,1.8,Air Breathing Baseline,78.12573242,122.343895,62.34302139,BURST,434,0.5266,0.1864
10738.65256,1.51,Air Breathing Baseline,75.68759155,121.5952072,57.37450027,BURST,435,0.565,0.1953
10740.16256,1.455,Air Breathing Baseline,77.0876236,119.0952911,55.71863937,BURST,435,0.5338,0.1084
10741.61756,1.29,Air Breathing Baseline,76.12948608,118.0627823,56.53123856,BURST,435,0.5544,0.2188
10742.90756,1.21,Air Breathing Baseline,77.87171936,115.3753967,56.06151581,BURST,435,0.5381,0.0591
10744.11756,1.61,CAL,80.9429245,116.8442001,57.59371567,BURST,435,0.5331,0.0822
10745.72756,1.5,CAL,84.40158844,118.4069443,59.18745804,BURST,435,0.5313,0.0813
10747.22756,1.625,CAL,84.40158844,118.4069443,59.18745804,BURST,435,0.5438,0.0609
10748.85256,1.565, ,84.40158844,118.4069443,59.18745804,BURST,435,0.5331,0.1106
10750.41756,1.825, ,72.34143066,112.156395,54.59202576,BURST,438,0.5228,0.3384
10752.24256,1.565, ,67.05027771,110.5938187,53.87384415,BURST,438,0.5347,0.3022
10753.80756,1.57, ,65.78004456,103.9690781,48.40621185,BURST,438,0.5378,0.0822
10755.37756,1.47, ,68.67436981,99.56269073,48.96874619,BURST,438,0.5503,0.0984
10756.84756,1.625, ,71.6217041,106.0001984,54.12457275,BURST,438,0.5353,0.1593
10758.47256,1.325, ,73.61148071,108.0317535,55.74996948,BURST,439,0.5647,0.3184
10759.79756,1.545, ,69.80393219,106.9379272,52.68742371,BURST,439,0.5459,0.0669
10761.34256,1.425, ,78.19551086,111.9375076,61.56192398,BURST,439,0.5363,0.065
10762.76756,1.645, ,80.47976685,111.8438721,60.15618515,BURST,439,0.5388,0.0953
10764.41256,1.51, ,77.8664093,112.1573334,64.24980927,BURST,439,0.5444,0.0753
10765.92256,1.575, ,79.48112488,112.4072952,60.34375,BURST,440,0.5506,0.2197
10767.49756,1.31, ,80.18846893,110.3750076,61.81178665,BURST,441,0.5441,0.2647
10768.80756,1.415, ,82.72155762,115.84375,57.71737289,BURST,441,0.5356,0.0787
10770.22256,1.14, ,82.87041473,114.9701462,66.78012085,BURST,441,0.5428,0.1197
